#語	DF	IDF
百科	100	1.0
事典	100	1.0
移動	100	1.0
フリー	100	1.0
検索	100	1.0
出典	100	1.0
カテゴリ	99	1.00436480540245
作成	99	1.00436480540245
編集	96	1.0177287669604316
年	91	1.0409586076789064
関連	76	1.1191864077192086
月	74	1.1307682802690238
目次	72	1.1426675035687315
項目	72	1.1426675035687315
表示	72	1.1426675035687315
日	66	1.1804560644581312
者	65	1.1870866433571445
日本	65	1.1870866433571445
ため	59	1.2291479883578558
人	55	1.2596373105057561
後	55	1.2596373105057561
リンク	52	1.2839966563652008
的	51	1.2924298239020637
外部	49	1.3098039199714864
もの	47	1.3279021420642825
編	47	1.3279021420642825
・	46	1.337242168318426
表	45	1.3467874862246563
現在	45	1.3467874862246563
話	44	1.3565473235138126
一	43	1.3665315444204136
中	43	1.3665315444204136
よう	42	1.3767507096020997
の	42	1.3767507096020997
これ	39	1.408935392973501
時代	39	1.408935392973501
県	37	1.431798275933005
協力	36	1.4436974992327127
記事	34	1.4685210829577449
使用	34	1.4685210829577449
二	33	1.4814860601221125
名	32	1.494850021680094
家	31	1.5086383061657274
訂正	31	1.5086383061657274
時	31	1.5086383061657274
歴	31	1.5086383061657274
人物	31	1.5086383061657274
等	31	1.5086383061657274
加筆	31	1.5086383061657274
それ	30	1.5228787452803376
上	30	1.5228787452803376
号	30	1.5228787452803376
市	30	1.5228787452803376
性	30	1.5228787452803376
その後	29	1.537602002101044
化	29	1.537602002101044
地	29	1.537602002101044
場合	28	1.5528419686577808
国	28	1.5528419686577808
間	27	1.5686362358410126
歴史	27	1.5686362358410126
存在	27	1.5686362358410126
世界	27	1.5686362358410126
前	26	1.585026652029182
数	26	1.585026652029182
関係	26	1.585026652029182
時間	26	1.585026652029182
三	25	1.6020599913279625
主	25	1.6020599913279625
脚注	25	1.6020599913279625
利用	25	1.6020599913279625
会	24	1.619788758288394
部	24	1.619788758288394
内	24	1.619788758288394
一部	23	1.638272163982407
他	23	1.638272163982407
情報	23	1.638272163982407
